respondent_id,h1n1_vaccine,seasonal_vaccine
26707,0,1
26708,0,0
26709,0,1
26710,1,1
26711,0,1
26712,0,1
26713,0,1
26714,1,1
26715,0,0
26716,1,1
26717,0,1
26718,1,1
26719,0,1
26720,0,1
26721,1,1
26722,0,1
26723,1,1
26724,0,0
26725,0,1
26726,0,0
26727,0,1
26728,1,1
26729,0,0
26730,0,0
26731,0,1
26732,1,1
26733,1,1
26734,1,1
26735,0,1
26736,0,1
26737,0,1
26738,1,1
26739,0,1
26740,0,1
26741,0,1
26742,0,1
26743,0,1
26744,0,0
26745,0,1
26746,0,0
26747,0,0
26748,0,0
26749,0,1
26750,1,1
26751,0,1
26752,0,0
26753,0,1
26754,0,1
26755,0,0
26756,1,1
26757,1,1
26758,1,1
26759,0,1
26760,0,1
26761,1,1
26762,0,1
26763,1,1
26764,1,1
26765,0,1
26766,1,1
26767,1,1
26768,0,1
26769,0,1
26770,0,1
26771,0,0
26772,1,1
26773,0,1
26774,0,1
26775,0,1
26776,0,1
26777,0,1
26778,0,0
26779,0,1
26780,0,1
26781,0,1
26782,0,0
26783,0,1
26784,0,0
26785,0,0
26786,0,1
26787,0,0
26788,0,1
26789,0,1
26790,0,1
26791,0,1
26792,0,0
26793,0,1
26794,1,1
26795,0,1
26796,1,1
26797,0,1
26798,1,1
26799,0,0
26800,0,1
26801,0,1
26802,0,1
26803,0,0
26804,0,1
26805,0,1
26806,0,1
26807,0,0
26808,0,1
26809,1,0
26810,0,0
26811,0,0
26812,0,1
26813,1,1
26814,0,1
26815,0,1
26816,0,1
26817,0,1
26818,1,1
26819,0,0
26820,0,1
26821,0,0
26822,0,1
26823,1,1
26824,0,1
26825,1,1
26826,0,0
26827,0,1
26828,0,0
26829,1,1
26830,0,1
26831,0,1
26832,0,1
26833,0,0
26834,1,1
26835,1,1
26836,1,1
26837,1,1
26838,0,1
26839,0,0
26840,1,1
26841,1,1
26842,1,1
26843,0,0
26844,0,0
26845,0,1
26846,0,1
26847,1,1
26848,0,0
26849,0,1
26850,1,1
26851,1,1
26852,1,1
26853,0,1
26854,0,1
26855,1,1
26856,0,0
26857,1,1
26858,0,1
26859,0,1
26860,0,0
26861,0,1
26862,0,1
26863,0,0
26864,0,0
26865,1,1
26866,0,0
26867,1,1
26868,0,1
26869,0,1
26870,1,1
26871,0,0
26872,0,1
26873,0,1
26874,0,0
26875,1,1
26876,0,0
26877,0,1
26878,0,0
26879,0,1
26880,0,0
26881,0,0
26882,0,1
26883,0,1
26884,0,0
26885,0,1
26886,0,0
26887,1,1
26888,1,1
26889,0,1
26890,0,0
26891,1,1
26892,0,0
26893,0,1
26894,0,1
26895,0,1
26896,0,1
26897,1,1
26898,0,0
26899,0,0
26900,0,1
26901,0,0
26902,0,1
26903,0,0
26904,1,1
26905,1,1
26906,0,1
26907,0,1
26908,0,1
26909,1,1
26910,0,0
26911,0,1
26912,1,1
26913,1,1
26914,0,1
26915,0,1
26916,0,1
26917,0,0
26918,0,1
26919,0,0
26920,0,1
26921,0,1
26922,0,1
26923,0,1
26924,1,1
26925,0,1
26926,1,1
26927,0,1
26928,0,1
26929,0,1
26930,1,1
26931,1,1
26932,0,1
26933,0,1
26934,1,1
26935,0,1
26936,1,1
26937,0,1
26938,0,1
26939,1,1
26940,0,0
26941,1,1
26942,1,1
26943,0,1
26944,0,1
26945,0,0
26946,0,1
26947,0,0
26948,1,1
26949,0,1
26950,0,1
26951,0,1
26952,1,1
26953,1,1
26954,0,1
26955,0,1
26956,0,0
26957,0,1
26958,0,0
26959,0,1
26960,0,0
26961,0,0
26962,0,1
26963,0,1
26964,0,1
26965,1,1
26966,0,0
26967,0,0
26968,0,1
26969,1,1
26970,1,1
26971,0,1
26972,0,1
26973,0,1
26974,0,1
26975,0,1
26976,1,1
26977,0,1
26978,0,1
26979,0,1
26980,0,0
26981,0,0
26982,1,1
26983,0,0
26984,0,1
26985,0,1
26986,0,1
26987,0,0
26988,0,0
26989,0,1
26990,0,0
26991,1,1
26992,1,1
26993,0,1
26994,0,1
26995,0,0
26996,1,1
26997,0,0
26998,0,1
26999,1,1
27000,0,0
27001,0,1
27002,0,1
27003,0,1
27004,0,0
27005,0,0
27006,1,1
27007,0,0
27008,0,0
27009,0,1
27010,0,1
27011,0,1
27012,1,1
27013,0,1
27014,0,1
27015,0,0
27016,0,1
27017,1,1
27018,0,1
27019,1,1
27020,1,1
27021,1,1
27022,0,1
27023,0,1
27024,0,1
27025,0,1
27026,0,1
27027,0,1
27028,0,1
27029,1,1
27030,0,1
27031,0,1
27032,0,0
27033,1,1
27034,0,1
27035,1,1
27036,0,1
27037,1,1
27038,0,1
27039,1,1
27040,0,1
27041,0,0
27042,0,1
27043,1,1
27044,0,0
27045,0,1
27046,0,1
27047,0,1
27048,0,0
27049,0,0
27050,0,1
27051,0,0
27052,0,1
27053,1,1
27054,0,1
27055,0,1
27056,0,1
27057,0,0
27058,1,1
27059,0,1
27060,0,1
27061,0,0
27062,0,1
27063,0,1
27064,0,0
27065,1,1
27066,0,1
27067,1,1
27068,1,1
27069,1,1
27070,0,0
27071,0,1
27072,0,1
27073,0,1
27074,0,1
27075,1,1
27076,0,1
27077,0,1
27078,0,1
27079,0,1
27080,0,1
27081,0,1
27082,0,1
27083,0,1
27084,1,1
27085,0,1
27086,0,1
27087,0,1
27088,1,1
27089,1,1
27090,0,1
27091,1,1
27092,0,1
27093,1,1
27094,0,0
27095,0,1
27096,0,1
27097,1,1
27098,1,1
27099,0,1
27100,0,1
27101,0,1
27102,0,1
27103,0,0
27104,0,1
27105,0,0
27106,1,1
27107,1,1
27108,0,0
27109,0,1
27110,0,1
27111,0,1
27112,1,1
27113,0,1
27114,0,0
27115,1,1
27116,0,1
27117,0,1
27118,0,1
27119,1,1
27120,0,1
27121,0,1
27122,0,0
27123,0,1
27124,0,1
27125,0,0
27126,1,1
27127,0,0
27128,1,1
27129,0,0
27130,0,1
27131,1,1
27132,1,1
27133,0,1
27134,1,1
27135,0,1
27136,0,1
27137,0,1
27138,0,0
27139,0,1
27140,1,1
27141,1,1
27142,0,1
27143,1,1
27144,0,1
27145,1,1
27146,0,1
27147,0,1
27148,0,0
27149,0,0
27150,1,1
27151,0,1
27152,1,1
27153,0,1
27154,1,1
27155,0,1
27156,0,0
27157,0,1
27158,0,0
27159,0,1
27160,0,1
27161,1,1
27162,0,1
27163,1,1
27164,0,0
27165,1,1
27166,1,1
27167,0,1
27168,0,1
27169,0,0
27170,1,1
27171,0,1
27172,0,1
27173,1,1
27174,0,1
27175,0,1
27176,1,1
27177,1,1
27178,0,1
27179,1,1
27180,0,1
27181,0,1
27182,1,1
27183,0,1
27184,1,1
27185,1,1
27186,1,1
27187,1,1
27188,0,1
27189,1,1
27190,1,1
27191,0,1
27192,1,1
27193,0,1
27194,1,1
27195,0,1
27196,0,1
27197,0,1
27198,1,1
27199,0,0
27200,0,1
27201,1,1
27202,1,1
27203,0,0
27204,1,1
27205,0,0
27206,0,0
27207,0,0
27208,1,0
27209,0,0
27210,0,1
27211,0,1
27212,1,1
27213,1,1
27214,0,1
27215,0,1
27216,0,1
27217,0,0
27218,1,1
27219,1,1
27220,0,1
27221,0,1
27222,0,1
27223,0,1
27224,0,1
27225,0,1
27226,0,1
27227,1,1
27228,0,1
27229,1,1
27230,0,1
27231,0,1
27232,0,1
27233,1,1
27234,0,1
27235,1,1
27236,0,1
27237,0,1
27238,0,0
27239,0,1
27240,0,0
27241,1,1
27242,1,1
27243,0,1
27244,0,1
27245,0,0
27246,1,1
27247,0,1
27248,0,1
27249,0,1
27250,0,1
