respondent_id,h1n1_vaccine,seasonal_vaccine
26707,1,1
26708,0,1
26709,0,1
26710,1,1
26711,1,1
26712,1,1
26713,0,1
26714,0,1
26715,0,1
26716,1,1
26717,0,1
26718,1,1
26719,0,1
26720,0,1
26721,1,1
26722,1,1
26723,1,1
26724,0,1
26725,0,1
26726,0,1
26727,1,1
26728,1,1
26729,0,1
26730,0,1
26731,0,1
26732,1,1
26733,1,1
26734,1,1
26735,0,1
26736,1,1
26737,1,1
26738,1,1
26739,1,1
26740,1,1
26741,0,1
26742,1,1
26743,1,1
26744,0,1
26745,0,1
26746,0,0
26747,0,1
26748,0,1
26749,1,1
26750,0,1
26751,1,1
26752,0,1
26753,0,1
26754,0,1
26755,0,1
26756,1,1
26757,1,1
26758,0,1
26759,0,1
26760,0,1
26761,1,1
26762,0,1
26763,1,1
26764,1,1
26765,0,1
26766,1,1
26767,1,1
26768,0,1
26769,0,1
26770,0,1
26771,0,1
26772,1,1
26773,1,1
26774,0,1
26775,0,1
26776,0,1
26777,1,1
26778,0,1
26779,1,1
26780,0,1
26781,0,1
26782,0,1
26783,0,1
26784,0,1
26785,0,0
26786,0,1
26787,0,1
26788,0,1
26789,1,1
26790,0,1
26791,0,1
26792,0,1
26793,0,1
26794,0,1
26795,0,1
26796,1,1
26797,1,1
26798,1,1
26799,0,0
26800,0,1
26801,0,1
26802,1,1
26803,0,1
26804,0,1
26805,0,1
26806,0,1
26807,0,1
26808,0,1
26809,1,1
26810,0,1
26811,0,1
26812,1,1
26813,1,1
26814,0,1
26815,0,1
26816,0,1
26817,0,1
26818,1,1
26819,0,1
26820,0,1
26821,0,1
26822,0,1
26823,1,1
26824,0,1
26825,1,1
26826,0,1
26827,0,1
26828,0,1
26829,1,1
26830,0,1
26831,0,1
26832,0,1
26833,1,1
26834,0,1
26835,0,1
26836,1,1
26837,1,1
26838,1,1
26839,0,1
26840,1,1
26841,1,1
26842,1,1
26843,0,1
26844,0,1
26845,0,1
26846,0,1
26847,1,1
26848,0,1
26849,0,1
26850,1,1
26851,1,1
26852,1,1
26853,0,1
26854,0,1
26855,0,1
26856,0,1
26857,0,1
26858,0,1
26859,0,1
26860,0,1
26861,0,1
26862,0,1
26863,0,1
26864,0,1
26865,1,1
26866,0,1
26867,1,1
26868,1,1
26869,0,1
26870,1,1
26871,0,1
26872,0,1
26873,0,1
26874,0,1
26875,1,1
26876,0,1
26877,1,1
26878,0,1
26879,0,1
26880,0,1
26881,0,1
26882,1,1
26883,0,1
26884,0,0
26885,0,1
26886,0,1
26887,1,1
26888,1,1
26889,0,1
26890,0,1
26891,1,1
26892,0,1
26893,1,1
26894,1,1
26895,0,1
26896,1,1
26897,0,1
26898,0,1
26899,0,1
26900,1,1
26901,1,1
26902,0,1
26903,0,1
26904,0,1
26905,0,1
26906,0,1
26907,0,1
26908,0,1
26909,1,1
26910,0,1
26911,1,1
26912,1,1
26913,1,1
26914,0,1
26915,0,1
26916,0,1
26917,0,1
26918,1,1
26919,0,1
26920,0,1
26921,0,1
26922,0,1
26923,1,1
26924,1,1
26925,1,1
26926,1,1
26927,1,1
26928,0,1
26929,1,1
26930,1,1
26931,1,1
26932,0,1
26933,0,1
26934,0,1
26935,0,1
26936,1,1
26937,0,1
26938,0,1
26939,1,1
26940,0,1
26941,1,1
26942,1,1
26943,0,1
